USUARIO;Conexión;Desconexión;Horas conexión;Servicio
u405401;3/9/2025 20:26;3/9/2025 21:44;01:18:13;RETENCION CABLE
u405401;3/9/2025 21:52;3/9/2025 22:00;00:07:53;RETENCION CABLE
u403586;3/9/2025 15:00;3/9/2025 21:00;05:59:41;RETENCION CABLE
u932906;3/9/2025 08:59;3/9/2025 09:45;00:45:40;RETENCION CABLE
u932906;3/9/2025 09:45;3/9/2025 14:31;04:45:34;RETENCION CABLE
u932906;3/9/2025 14:32;3/9/2025 15:02;00:30:16;RETENCION CABLE
u401334;3/9/2025 15:59;3/9/2025 22:00;06:00:44;RETENCION CABLE
u561875;3/9/2025 08:40;3/9/2025 14:31;05:50:29;RETENCION CABLE
u925305;3/9/2025 08:01;3/9/2025 14:04;06:03:18;RETENCION CABLE
u925305;3/9/2025 16:40;3/9/2025 18:16;01:35:39;RETENCION CABLE
u401134;3/9/2025 14:59;3/9/2025 15:02;00:02:47;RETENCION CABLE
u401134;3/9/2025 15:02;3/9/2025 21:10;06:07:32;RETENCION CABLE
u939746;3/9/2025 08:00;3/9/2025 12:02;04:02:44;RETENCION CABLE
u939746;3/9/2025 12:09;3/9/2025 12:14;00:04:33;RETENCION CABLE
u939746;3/9/2025 12:15;3/9/2025 13:48;01:33:04;RETENCION CABLE
u939746;3/9/2025 13:50;3/9/2025 14:00;00:10:24;RETENCION CABLE
u939746;3/9/2025 17:52;3/9/2025 19:31;01:38:32;RETENCION CABLE
u939746;3/9/2025 19:32;3/9/2025 20:51;01:18:46;RETENCION CABLE
u932961;3/9/2025 08:34;3/9/2025 14:31;05:56:53;RETENCION CABLE
u401139;3/9/2025 15:00;3/9/2025 21:00;05:59:56;RETENCION CABLE
u401143;3/9/2025 15:13;3/9/2025 21:13;05:59:56;RETENCION CABLE
u939690;3/9/2025 15:59;3/9/2025 22:00;06:00:18;RETENCION CABLE
u929678;3/9/2025 08:01;3/9/2025 14:31;06:29:46;RETENCION CABLE
u614946;3/9/2025 07:59;3/9/2025 11:43;03:43:21;RETENCION CABLE
u614946;3/9/2025 11:44;3/9/2025 13:45;02:00:19;RETENCION CABLE
u614946;3/9/2025 13:45;3/9/2025 14:04;00:19:26;RETENCION CABLE
u626769;3/9/2025 08:00;3/9/2025 14:02;06:01:25;RETENCION CABLE
u405402;2/9/2025 16:00;2/9/2025 22:00;05:59:52;RETENCION CABLE
u925873;2/9/2025 07:57;2/9/2025 14:00;06:02:26;RETENCION CABLE
u401401;2/9/2025 08:01;2/9/2025 14:01;05:59:39;RETENCION CABLE
u939700;2/9/2025 15:59;2/9/2025 22:01;06:01:27;RETENCION CABLE
u614832;2/9/2025 14:59;2/9/2025 21:00;06:00:19;RETENCION CABLE
u403568;2/9/2025 08:55;2/9/2025 15:00;06:04:18;RETENCION CABLE
u930002;2/9/2025 07:58;2/9/2025 09:29;01:30:54;RETENCION CABLE
u930002;2/9/2025 09:29;2/9/2025 14:00;04:30:23;RETENCION CABLE
u930002;2/9/2025 20:30;2/9/2025 20:42;00:12:18;RETENCION CABLE
u930002;2/9/2025 20:42;2/9/2025 22:00;01:18:14;RETENCION CABLE
u939164;2/9/2025 07:59;2/9/2025 14:00;06:00:14;RETENCION CABLE
u405397;2/9/2025 15:04;2/9/2025 16:32;01:28:20;RETENCION CABLE
u405397;2/9/2025 16:34;2/9/2025 21:01;04:27:04;RETENCION CABLE
u405127;2/9/2025 08:42;2/9/2025 14:30;05:47:49;RETENCION CABLE
u401338;2/9/2025 14:58;2/9/2025 21:00;06:02:28;RETENCION CABLE
u928733;2/9/2025 16:00;2/9/2025 21:02;05:02:19;RETENCION CABLE
u939771;2/9/2025 16:00;2/9/2025 22:00;06:00:07;RETENCION CABLE
u401332;2/9/2025 15:19;2/9/2025 16:47;01:28:14;RETENCION CABLE
u401332;2/9/2025 16:48;2/9/2025 21:00;04:11:55;RETENCION CABLE
